scientific_name,latitude,longitude,observation_count
"Pilea microphylla (L.) Liebm.",7.3,80.6,9
"Tabebuia aurea (Silva Manso) Benth. & Hook.fil. ex S.Moore",6.8,80,9
"Couroupita guianensis Aubl.",6.9,79.9,9
"Artocarpus altilis (Parkinson) Fosberg",6,80.2,9
"Caryota urens L.",6.4,80.4,9
"Caryota urens L.",6.4,80.5,9
"Episcia cupreata (Hook.fil.) Hanst.",6.4,80.4,9
"Emilia sonchifolia (L.) DC. ex Wight",6.8,80,9
"Dillenia suffruticosa (Griff.) Martelli",6.5,80.4,9
"Asystasia gangetica (L.) T.Anderson",7.3,80.6,9
"Piper nigrum L.",7.3,80.6,9
"Oxalis barrelieri L.",6.8,80,9
"Aristea ecklonii Baker",6.9,80.8,9
"Zantedeschia aethiopica (L.) Spreng.",7,80.8,9
"Mirabilis jalapa L.",7.3,80.6,9
"Euphorbia antiquorum L.",8,80.8,9
"Catharanthus roseus (L.) G.Don",8.7,81.2,9
"Exacum trinervium (L.) Druce",6.9,81.1,9
"Hedyotis lessertiana Arn.",6.8,80.8,9
"Erigeron karvinskianus DC.",6.8,80.8,9
"Epipremnum aureum (Linden & André) G.S.Bunting",7.3,80.6,9
"Carissa spinarum L.",6.3,81.4,9
"Barleria vestita T.Anderson",6.4,80.4,9
"Axonopus compressus (Sw.) P.Beauv.",7.3,80.6,9
"Adiantum caudatum L.",7.6,80.7,9
"Plantae",7.3,80.5,9
"Plantae",7.1,80.2,9
"Clidemia hirta (L.) D.Don",7.3,80.6,9
"Selaginella P.Beauv.",7.2,80.6,9
"Gomphandra coriacea Wight",7.4,80.8,9
"Poaceae",7.3,80.6,9
"Litsea Lam.",7.3,80.8,9
"Abelmoschus esculentus (L.) Moench",6.9,81.2,9
"Chloris barbata Sw.",7.9,80.8,9
"Isachne kunthiana var. eligulata Davidse",6.8,80.5,9
"Oryza rhizomatis D.A.Vaughan",6.5,81.5,9
"Oryza rhizomatis D.A.Vaughan",6.3,81.5,9
"Themeda triandra Forssk.",7.3,80.6,9
"Bryophyta",6.8,80.5,9
"Aristida setacea Retz.",8,80.8,9
"Garnotia scoparia Thwaites",6.5,80.7,9
"Garcinia L.",7.9,80.8,9
"Eragrostis tenella (L.) P.Beauv.",6.7,81.1,9
"Ectropothecium Mitt.",6.8,80.5,9
"Semecarpus pubescens Thwaites",6.7,80.4,9
"Crudia zeylanica (Thwaites) Benth.",7.1,80,9
"Oryza rufipogon Griff.",7,80,9
"Casearia Jacq.",7.6,80.7,9
"Mastixia tetrandra (Wight ex Thwaites) C.B.Clarke",6.4,80.4,9
"Oryza sativa L.",8.4,80.5,8
"Oryza sativa L.",6.9,81.4,8
"Solanum melongena L.",7.5,80.4,8
"Gloriosa superba L.",7.3,80.6,8
"Mangifera indica L.",6.3,81.3,8
"Mimosa pudica L.",7.9,80.7,8
"Mimosa pudica L.",6.9,81,8
"Terminalia catappa L.",6.9,79.9,8
"Melastoma malabathricum L.",7,80.4,8
"Lantana camara L.",8,80.8,8
"Nepenthes distillatoria L.",6.6,80.6,8
"Miconia crenata (Vahl) Michelang.",7,80.4,8
"Miconia crenata (Vahl) Michelang.",7.3,80.6,8
"Artocarpus heterophyllus Lam.",6.4,80.4,8
"Ipomoea pes-caprae (L.) R.Br.",7.3,79.8,8
"Ipomoea pes-caprae (L.) R.Br.",6.1,80.1,8
"Scaevola taccada (Gaertn.) Roxb.",6.2,81.2,8
"Calotropis gigantea (L.) W.T.Aiton",7.9,80.7,8
"Persicaria capitata (Buch.-Ham. ex D.Don) H.Gross",7.5,80.7,8
"Sphagneticola trilobata (L.) Pruski",6.9,81.1,8
"Macaranga peltata (Roxb.) Müll.Arg.",7.3,80.6,8
"Cocos nucifera L.",6.1,80.1,8
"Lagerstroemia speciosa (L.) Pers.",6.9,79.9,8
"Hibiscus surattensis L.",6.4,80.4,8
"Schumacheria castaneifolia Vahl",6.4,80.5,8
"Osbeckia octandra (L.) DC.",6.9,81.1,8
"Thunbergia grandiflora (Roxb. ex Rottler) Roxb.",6.9,79.9,8
"Drynaria quercifolia (L.) J.Sm.",6.4,80.5,8
"Barringtonia asiatica (L.) Kurz",6.3,80,8
"Dillenia suffruticosa (Griff.) Martelli",7,80.4,8
"Spathodea campanulata Beauverd",7.3,80.6,8
"Tridax procumbens L.",6,80.2,8
"Tridax procumbens L.",7.2,79.8,8
"Piper nigrum L.",7.6,80.6,8
"Annona glabra L.",6.9,79.9,8
"Crassocephalum crepidioides (Benth.) S.Moore",6.8,80.8,8
"Sonerila silvatica Lundin",6.4,80.4,8
"Solanum torvum Sw.",6.6,80,8
"Anoectochilus regalis Blume",6.4,80.6,8
"Caulerpa racemosa (Forssk.) J.Agardh",5.9,80.5,8
"Cestrum elegans (Brongn. ex Neumann) Schltdl.",6.8,80.8,8
"Aporosa lanceolata (Tul.) Thwaites",6.7,80.4,8
"Wrightia antidysenterica (L.) R.Br.",6.9,79.9,8
"Memecylon umbellatum Burm.fil.",6.9,81.7,8
"Aponogeton jacobsenii de Wit",6.8,80.8,8
"Prunus walkeri (Wight) Kalkman",6.4,80.4,8
"Strobilanthes lupulina Nees",6.4,80.6,8
"Syzygium Gaertn.",7.9,80.8,8
"Abelmoschus esculentus (L.) Moench",6.3,81.2,8
"Dipterocarpus alatus Roxb.",7.3,80.6,8
"Cleistanthus Hook.f. ex Planch.",7,80.4,8
"Codium Stackhouse, 1797",5.9,80.5,8
"Laurencia J.V.F.Lamouroux, 1813",6,80.7,8
"Portieria hornemannii (Lyngb.) P.C.Silva, 1987",8.2,79.8,8
"Dioscorea alata L.",8.7,80.3,8
"Cinnamomum citriodorum Thwaites",6.7,80.8,8
"Acroporium Mitt.",7,80.8,8
"Polyopes ligulatus (Harvey ex Kütz.) De Toni, 1905",6.5,80,8
"Halimeda J.V.F.Lamouroux, 1812",6.5,80,8
"Stemonoporus cordifolius (Thwaites) Alston",6.8,80.5,8
"Stemonoporus oblongifolius Thwaites",6.8,80.6,8
"Sacciolepis curvata (L.) Chase",6.5,80.7,8
"Kyllinga nemoralis (J.R.Forst. & G.Forst.) Dandy ex Hutch. & Dalziel",6.7,81.1,8
"Diospyros ebenum J.Koenig",7.9,80.8,8
"Eragrostis unioloides (Retz.) Nees",6.9,80.8,8
"Shorea congestiflora (Thwaites) P.S.Ashton",6.4,80.4,8
"Shorea megistophylla P.S.Ashton",7.3,80.6,8
"Halophila major (Zoll.) Miq.",9,79.9,8
"Hopea brevipetiolaris (Thwaites) P.S.Ashton",7.2,80.8,8
"Solanum virginianum L.",7.5,80.4,8
"Cleidion nitidum (Müll.Arg.) Thwaites ex Kurz",8.1,80.7,8
"Psychotria L.",7.4,80.8,8
"Podostemaceae",7.3,80.6,8
"Dichilanthe zeylanica Thwaites",6.4,80.4,8
"Semecarpus gardneri Thwaites",6.4,80.4,8
"Semecarpus acuminatus Thwaites",6.4,80.4,8
"Oryza nivara S.D.Sharma & Shastry",8.7,80.5,8
"Solanum surattense Burm.fil.",7.5,80.4,8
"Dioscorea esculenta (Lour.) Burkill",7.2,80.6,8
"Dioscorea Plum. ex L.",7.3,80,8
"Oryza sativa L.",7.7,79.8,7
"Oryza sativa L.",6.4,80,7
"Gloriosa superba L.",6.9,81.1,7
"Gloriosa superba L.",6.1,80.1,7
"Nymphaea nouchali Burm.fil.",6.9,79.9,7
"Ficus benghalensis L.",6,80.2,7
"Ficus benghalensis L.",8,80.8,7
"Camellia sinensis (L.) Kuntze",6.9,81,7
"Mimosa pudica L.",6,80.2,7
"Melastoma malabathricum L.",6,80.2,7
"Cerbera odollam Gaertn.",7.2,79.9,7
"Asystasia intrusa (Forssk.) Blume",7,80.4,7
"Arundina graminifolia (D.Don) Hochr.",6.4,80.6,7
"Ipomoea pes-caprae (L.) R.Br.",6,80.2,7
"Scaevola taccada (Gaertn.) Roxb.",6,80.8,7
"Calotropis gigantea (L.) W.T.Aiton",6.4,80.9,7
"Calotropis gigantea (L.) W.T.Aiton",6.3,81.3,7
"Calotropis gigantea (L.) W.T.Aiton",6.9,79.9,7
"Grona heterocarpos (L.) H.Ohashi & K.Ohashi",6.4,80.4,7
"Hellenia speciosa (J.Koenig) S.R.Dutta",7,80.4,7
"Ruellia prostrata Poir.",7.2,80,7
"Ruellia prostrata Poir.",8,80.8,7
"Sphagneticola trilobata (L.) Pruski",6.9,79.9,7
"Cyanthillium cinereum (L.) H.Rob.",6,80.2,7
"Ficus diversiformis Miq.",6.4,80.4,7
"Cocos nucifera L.",6.8,80,7
"Cocos nucifera L.",7.2,79.8,7
"Cocos nucifera L.",6.4,80,7
"Alstonia macrophylla Wall. ex G.Don",6.4,80.4,7
"Antigonon leptopus Hook. & Arn.",7.2,79.8,7
"Tithonia diversifolia (Hemsl.) A.Gray",6.4,80.4,7
"Coccinia grandis (L.) Voigt",7.3,80.6,7
"Cascabela thevetia (L.) Lippold",6.1,81.1,7
"Terminalia arjuna (Roxb.) Wight & Arn.",8.4,80,7
"Senna spectabilis (DC.) H.S.Irwin & Barneby",6.9,81.1,7
"Ficus religiosa L.",7.3,80.6,7
"Pachystachys spicata (Ruiz & Pav.) Wassh.",7.3,80.6,7
"Heliconia psittacorum L.f.",6.4,80.5,7
"Senna auriculata (L.) Roxb.",6.2,81.2,7
"Barringtonia asiatica (L.) Kurz",6.5,80,7
"Asystasia gangetica (L.) T.Anderson",6.9,79.9,7
"Osbeckia rubicunda Arn.",6.9,80.8,7
"Isodon nigrescens (Benth.) H.Hara",6.8,80.8,7
"Glycosmis mauritiana (Lam.) Yu.Tanaka",7.3,80.7,7
"Solanum chrysotrichum Schltdl.",7,80.8,7
"Rivina humilis L.",7.9,80.6,7
"Rivina humilis L.",7.3,80.7,7
"Muntingia calabura L.",6.9,79.9,7
"Euphorbia heterophylla L.",7.3,80.6,7
"Impatiens truncata Thwaites",7.4,80.8,7
"Strobilanthes lupulina T.Anderson",6.4,80.5,7
"Filicium decipiens (Wight & Arn.) Thwaites",7.3,80.6,7
"Carissa spinarum L.",6.9,81.7,7
"Solanum torvum Sw.",6.8,80,7
"Cassia roxburghii DC.",8,80.8,7
"Thunbergia fragrans Roxb.",7.3,80.6,7
"Swietenia macrophylla G.King",7.3,80.6,7
"Hedyotis trimenii Deb & Ratna Dutta",6.8,80.8,7
"Strobilanthes sexennis Nees",6.8,80.8,7
"Acanthaceae",7.3,80.6,7
"Lepisanthes tetraphylla (Vahl) Radlk.",7.9,81,7
"Thunbergia alata Bojer ex Sims",7.3,80.6,7
"Plantae",6,80.5,7
"Plantae",7.5,80.3,7
"Asplenium L.",7.6,80.7,7
"Potentilla indica (Andrews) Th.Wolf",7,80.8,7
"Emilia zeylanica C.B.Clarke",6.8,80.8,7
"Sphaerostephanos unitus (L.) Holttum",6.6,80.8,7
"Sphaerostephanos arbusculus (Willd.) Holttum",7.3,80.6,7
"Pachystachys lutea (Ruiz & Pav. ex Schult.) Nees",7.3,80.6,7
"Caulerpa sertularioides (S.G.Gmel.) M.Howe",5.9,80.5,7
"Myristica fragrans Houtt.",7.3,80.6,7
"Gaertnera vaginans (DC.) Merr.",6.3,80.3,7
"Stachytarpheta Vahl",7.3,80.6,7
"Neurocalyx championii Benth. ex Thwaites",6.1,80.3,7
"Neurocalyx zeylanicus Hook.",7,80.4,7
"Diospyros L.",6.7,80.4,7
"Diospyros L.",6.3,80.3,7
"Cajanus rugosus (Wight & Arn.) Maesen",6.8,81,7
"Piper L.",7.3,80.8,7
"Eriocaulon atratum Körn.",6.8,80.5,7
"Excoecaria crenulata Wight",8.1,80.7,7
"Markhamia platycalyx (Baker) Sprague",7.3,80.6,7
